/root/code/Mamba-UNet-main/code/train_fully_supervised_2D_ViT.py:32: DeprecationWarning: Please import `zoom` from the `scipy.ndimage` namespace; the `scipy.ndimage.interpolation` namespace is deprecated and will be removed in SciPy 2.0.0.
  from scipy.ndimage.interpolation import zoom
/root/miniconda3/lib/python3.10/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
=> merge config from ../code/configs/swin_tiny_patch4_window7_224_lite.yaml
=> merge config from ../code/configs/swin_tiny_patch4_window7_224_lite.yaml
Namespace(root_path='../data/ACDC', exp='ACDC/swinunet', model='swinunet', max_iterations=10000, batch_size=24, deterministic=1, base_lr=0.01, patch_size=[224, 224], seed=1337, num_classes=4, cfg='../code/configs/swin_tiny_patch4_window7_224_lite.yaml', opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, labeled_bs=12, labeled_num=140, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0)
SwinTransformerSys expand initial----depths:[2, 2, 2, 2];depths_decoder:[1, 2, 2, 2];drop_path_rate:0.2;num_classes:4
---final upsample expand_first---
pretrained_path:../code/pretrained_ckpt/swin_tiny_patch4_window7_224.pth
---start load pretrained modle of swin encoder---
total 1312 samples
total 20 samples
55 iterations per epoch
  0%|                                         | 0/182 [00:00<?, ?it/s]iteration 1 : loss : 1.176010, loss_ce: 1.519468, loss_dice: 0.832552
iteration 121 : loss : 0.457965, loss_ce: 0.194533, loss_dice: 0.721398
iteration 122 : loss : 0.464558, loss_ce: 0.208686, loss_dice: 0.720429
iteration 123 : loss : 0.469298, loss_ce: 0.216256, loss_dice: 0.722339
iteration 124 : loss : 0.461792, loss_ce: 0.201448, loss_dice: 0.722137
iteration 125 : loss : 0.470346, loss_ce: 0.217937, loss_dice: 0.722754
iteration 126 : loss : 0.468683, loss_ce: 0.215043, loss_dice: 0.722324
iteration 127 : loss : 0.462407, loss_ce: 0.202413, loss_dice: 0.722401
iteration 128 : loss : 0.461200, loss_ce: 0.199919, loss_dice: 0.722481
iteration 129 : loss : 0.445218, loss_ce: 0.168436, loss_dice: 0.722000
iteration 130 : loss : 0.467933, loss_ce: 0.213280, loss_dice: 0.722586
iteration 131 : loss : 0.484234, loss_ce: 0.244156, loss_dice: 0.724312
iteration 132 : loss : 0.465432, loss_ce: 0.207609, loss_dice: 0.723255
iteration 133 : loss : 0.465592, loss_ce: 0.208538, loss_dice: 0.722646
iteration 134 : loss : 0.468660, loss_ce: 0.213983, loss_dice: 0.723338
iteration 135 : loss : 0.463698, loss_ce: 0.204072, loss_dice: 0.723325
iteration 136 : loss : 0.459033, loss_ce: 0.195451, loss_dice: 0.722616
iteration 137 : loss : 0.470075, loss_ce: 0.216743, loss_dice: 0.723406
iteration 138 : loss : 0.478762, loss_ce: 0.234408, loss_dice: 0.723117
iteration 139 : loss : 0.462747, loss_ce: 0.203535, loss_dice: 0.721958
iteration 140 : loss : 0.475492, loss_ce: 0.228479, loss_dice: 0.722506
iteration 141 : loss : 0.444403, loss_ce: 0.167486, loss_dice: 0.721319
iteration 142 : loss : 0.469523, loss_ce: 0.216675, loss_dice: 0.722370
iteration 143 : loss : 0.461706, loss_ce: 0.200829, loss_dice: 0.722584
iteration 144 : loss : 0.469604, loss_ce: 0.216808, loss_dice: 0.722399
iteration 145 : loss : 0.467062, loss_ce: 0.212424, loss_dice: 0.721699
iteration 146 : loss : 0.468498, loss_ce: 0.214666, loss_dice: 0.722329
iteration 147 : loss : 0.480529, loss_ce: 0.238633, loss_dice: 0.722425
iteration 148 : loss : 0.456697, loss_ce: 0.193359, loss_dice: 0.720035
iteration 149 : loss : 0.449904, loss_ce: 0.179451, loss_dice: 0.720358
iteration 150 : loss : 0.459299, loss_ce: 0.198602, loss_dice: 0.719995
iteration 151 : loss : 0.479149, loss_ce: 0.236938, loss_dice: 0.721359
iteration 152 : loss : 0.467010, loss_ce: 0.213703, loss_dice: 0.720318
iteration 153 : loss : 0.483480, loss_ce: 0.245901, loss_dice: 0.721060
iteration 154 : loss : 0.468917, loss_ce: 0.218148, loss_dice: 0.719686
iteration 155 : loss : 0.458196, loss_ce: 0.196757, loss_dice: 0.719636
iteration 156 : loss : 0.464174, loss_ce: 0.208475, loss_dice: 0.719874
iteration 157 : loss : 0.449709, loss_ce: 0.180504, loss_dice: 0.718914
iteration 158 : loss : 0.454812, loss_ce: 0.191562, loss_dice: 0.718063
iteration 159 : loss : 0.459195, loss_ce: 0.200737, loss_dice: 0.717653
iteration 160 : loss : 0.460045, loss_ce: 0.202122, loss_dice: 0.717968
iteration 161 : loss : 0.467454, loss_ce: 0.217156, loss_dice: 0.717752
iteration 162 : loss : 0.473468, loss_ce: 0.228823, loss_dice: 0.718113
iteration 163 : loss : 0.448528, loss_ce: 0.179112, loss_dice: 0.717945
iteration 164 : loss : 0.474572, loss_ce: 0.233403, loss_dice: 0.715741
iteration 165 : loss : 0.468190, loss_ce: 0.219887, loss_dice: 0.716494
